jurisdiction,state,county
MARYSVILLE BOROUGH,PA,PERRY COUNTY
MATAMORAS BOROUGH,PA,PIKE COUNTY
MAXATAWNY TOWNSHIP,PA,BERKS COUNTY
MAYFIELD BOROUGH,PA,LACKAWANNA COUNTY
MCCANDLESS TOWNSHIP,PA,ALLEGHENY COUNTY
MCDONALD BOROUGH,PA,WASHINGTON COUNTY
MCHENRY TOWNSHIP,PA,LYCOMING COUNTY
MCINTYRE TOWNSHIP,PA,LYCOMING COUNTY
MCKEAN BOROUGH,PA,ERIE COUNTY
MCKEAN TOWNSHIP,PA,ERIE COUNTY
MCKEES ROCKS BOROUGH,PA,ALLEGHENY COUNTY
MCKEESPORT,PA,ALLEGHENY COUNTY
MCNETT TOWNSHIP,PA,LYCOMING COUNTY
MECHANICSBURG BOROUGH,PA,CUMBERLAND COUNTY
MEDIA BOROUGH,PA,DELAWARE COUNTY
MEHOOPANY TOWNSHIP,PA,WYOMING COUNTY
MENALLEN TOWNSHIP,PA,FAYETTE COUNTY
MERCER BOROUGH,PA,MERCER COUNTY
MERCER TOWNSHIP,PA,BUTLER COUNTY
MERCERSBURG BOROUGH,PA,FRANKLIN COUNTY
MESHOPPEN BOROUGH,PA,WYOMING COUNTY
MESHOPPEN TOWNSHIP,PA,WYOMING COUNTY
METAL TOWNSHIP,PA,FRANKLIN COUNTY
MIDDLE PAXTON TOWNSHIP,PA,DAUPHIN COUNTY
MIDDLE SMITHFIELD TOWNSHIP,PA,MONROE COUNTY
MIDDLE TAYLOR TOWNSHIP,PA,CAMBRIA COUNTY
MIDDLESEX TOWNSHIP,PA,BUTLER COUNTY
MIDDLESEX TOWNSHIP,PA,CUMBERLAND COUNTY
MIDDLETOWN BOROUGH,PA,DAUPHIN COUNTY
MIDDLETOWN TOWNSHIP,PA,BUCKS COUNTY
MIDDLETOWN TOWNSHIP,PA,DELAWARE COUNTY
MIDLAND BOROUGH,PA,BEAVER COUNTY
MIDWAY BOROUGH,PA,WASHINGTON COUNTY
MIFFLIN TOWNSHIP,PA,COLUMBIA COUNTY
MIFFLIN TOWNSHIP,PA,DAUPHIN COUNTY
MIFFLIN TOWNSHIP,PA,LYCOMING COUNTY
MILES TOWNSHIP,PA,CENTRE COUNTY
MILESBURG BOROUGH,PA,CENTRE COUNTY
MILFORD BOROUGH,PA,PIKE COUNTY
MILFORD TOWNSHIP,PA,BUCKS COUNTY
MILFORD TOWNSHIP,PA,PIKE COUNTY
MILL CREEK TOWNSHIP,PA,LYCOMING COUNTY
MILL CREEK TOWNSHIP,PA,MERCER COUNTY
MILL VILLAGE BOROUGH,PA,ERIE COUNTY
MILLBOURNE BOROUGH,PA,DELAWARE COUNTY
MILLCREEK TOWNSHIP,PA,ERIE COUNTY
MILLCREEK TOWNSHIP,PA,LEBANON COUNTY
MILLER TOWNSHIP,PA,PERRY COUNTY
MILLERSBURG BOROUGH,PA,DAUPHIN COUNTY
MILLERSTOWN BOROUGH,PA,PERRY COUNTY
MILLERSVILLE BOROUGH,PA,LANCASTER COUNTY
MILLHEIM BOROUGH,PA,CENTRE COUNTY
MILLVALE BOROUGH,PA,ALLEGHENY COUNTY
MILLVILLE BOROUGH,PA,COLUMBIA COUNTY
MODENA BOROUGH,PA,CHESTER COUNTY
MOHNTON BOROUGH,PA,BERKS COUNTY
MONACA BOROUGH,PA,BEAVER COUNTY
MONAGHAN TOWNSHIP,PA,YORK COUNTY
MONESSEN,PA,WESTMORELAND COUNTY
MONONGAHELA,PA,WASHINGTON COUNTY
MONROE TOWNSHIP,PA,CUMBERLAND COUNTY
MONROE TOWNSHIP,PA,WYOMING COUNTY
MONROEVILLE BOROUGH,PA,ALLEGHENY COUNTY
MONT ALTO BOROUGH,PA,FRANKLIN COUNTY
MONTGOMERY BOROUGH,PA,LYCOMING COUNTY
MONTGOMERY TOWNSHIP,PA,FRANKLIN COUNTY
MONTGOMERY TOWNSHIP,PA,MONTGOMERY COUNTY
MONTOUR COUNTY UNINCORPORATED AREA,PA,MONTOUR COUNTY
MONTOUR TOWNSHIP,PA,COLUMBIA COUNTY
MONTOURSVILLE BOROUGH,PA,LYCOMING COUNTY
MOON TOWNSHIP,PA,ALLEGHENY COUNTY
MOORE TOWNSHIP,PA,NORTHAMPTON COUNTY
MOOSIC BOROUGH,PA,LACKAWANNA COUNTY
MORELAND TOWNSHIP,PA,LYCOMING COUNTY
MORRIS TOWNSHIP,PA,WASHINGTON COUNTY
MORRISVILLE BOROUGH,PA,BUCKS COUNTY
MORTON BOROUGH,PA,DELAWARE COUNTY
MOSCOW BOROUGH,PA,LACKAWANNA COUNTY
MOUNT GRETNA BOROUGH,PA,LEBANON COUNTY
MOUNT HOLLY SPRINGS BOROUGH,PA,CUMBERLAND COUNTY
MOUNT JOY BOROUGH,PA,LANCASTER COUNTY
MOUNT JOY TOWNSHIP,PA,LANCASTER COUNTY
MOUNT LEBANON TOWNSHIP,PA,ALLEGHENY COUNTY
MOUNT OLIVER BOROUGH,PA,ALLEGHENY COUNTY
MOUNT PENN BOROUGH,PA,BERKS COUNTY
MOUNT PLEASANT BOROUGH,PA,WESTMORELAND COUNTY
MOUNT PLEASANT TOWNSHIP,PA,COLUMBIA COUNTY
MOUNT PLEASANT TOWNSHIP,PA,WASHINGTON COUNTY
MOUNT PLEASANT TOWNSHIP,PA,WESTMORELAND COUNTY
MOUNT POCONO BOROUGH,PA,MONROE COUNTY
MOUNT WOLF BOROUGH,PA,YORK COUNTY
MOUNTVILLE BOROUGH,PA,LANCASTER COUNTY
MUDDY CREEK TOWNSHIP,PA,BUTLER COUNTY
MUHLENBERG TOWNSHIP,PA,BERKS COUNTY
MUNCY BOROUGH,PA,LYCOMING COUNTY
MUNCY CREEK TOWNSHIP,PA,LYCOMING COUNTY
MUNCY TOWNSHIP,PA,LYCOMING COUNTY
MUNHALL BOROUGH,PA,ALLEGHENY COUNTY
MUNICIPALITY OF MONROEVILLE BOROUGH,PA,ALLEGHENY COUNTY
MUNICIPALITY OF MURRYSVILLE BOROUGH,PA,WESTMORELAND COUNTY
MUNSTER TOWNSHIP,PA,CAMBRIA COUNTY
MURRYSVILLE BOROUGH,PA,WESTMORELAND COUNTY
MYERSTOWN BOROUGH,PA,LEBANON COUNTY
NANTICOKE,PA,LUZERNE COUNTY
NANTY-GLO BOROUGH,PA,CAMBRIA COUNTY
NARBERTH BOROUGH,PA,MONTGOMERY COUNTY
NAZARETH BOROUGH,PA,NORTHAMPTON COUNTY
NESCOPECK BOROUGH,PA,LUZERNE COUNTY
NESCOPECK TOWNSHIP,PA,LUZERNE COUNTY
NESQUEHONING BOROUGH,PA,CARBON COUNTY
NETHER PROVIDENCE TOWNSHIP,PA,DELAWARE COUNTY
NEVILLE TOWNSHIP,PA,ALLEGHENY COUNTY
NEW ALEXANDRIA BOROUGH,PA,WESTMORELAND COUNTY
NEW BRIGHTON BOROUGH,PA,BEAVER COUNTY
NEW BRITAIN BOROUGH,PA,BUCKS COUNTY
NEW BRITAIN TOWNSHIP,PA,BUCKS COUNTY
NEW BUFFALO BOROUGH,PA,PERRY COUNTY
NEW CUMBERLAND BOROUGH,PA,CUMBERLAND COUNTY
NEW EAGLE BOROUGH,PA,WASHINGTON COUNTY
NEW FLORENCE BOROUGH,PA,WESTMORELAND COUNTY
NEW FREEDOM BOROUGH,PA,YORK COUNTY
NEW GALILEE BOROUGH,PA,BEAVER COUNTY
NEW GARDEN TOWNSHIP,PA,CHESTER COUNTY
NEW HANOVER TOWNSHIP,PA,MONTGOMERY COUNTY
NEW HOLLAND BOROUGH,PA,LANCASTER COUNTY
NEW HOPE BOROUGH,PA,BUCKS COUNTY
NEW KENSINGTON,PA,WESTMORELAND COUNTY
NEW LEBANON BOROUGH,PA,MERCER COUNTY
NEW LONDON TOWNSHIP,PA,CHESTER COUNTY
NEW MORGAN BOROUGH,PA,BERKS COUNTY
NEW SALEM BOROUGH,PA,YORK COUNTY
NEW SEWICKLEY TOWNSHIP,PA,BEAVER COUNTY
NEW STANTON BOROUGH,PA,WESTMORELAND COUNTY
NEW VERNON TOWNSHIP,PA,MERCER COUNTY
NEWBERRY TOWNSHIP,PA,YORK COUNTY
NEWBURG BOROUGH,PA,CUMBERLAND COUNTY
NEWLIN TOWNSHIP,PA,CHESTER COUNTY
NEWPORT BOROUGH,PA,PERRY COUNTY
NEWRY BOROUGH,PA,BLAIR COUNTY
NEWTON TOWNSHIP,PA,LACKAWANNA COUNTY
NEWTOWN BOROUGH,PA,BUCKS COUNTY
NEWTOWN TOWNSHIP,PA,BUCKS COUNTY
NEWTOWN TOWNSHIP,PA,DELAWARE COUNTY
NEWVILLE BOROUGH,PA,CUMBERLAND COUNTY
NICHOLSON BOROUGH,PA,WYOMING COUNTY
NICHOLSON TOWNSHIP,PA,WYOMING COUNTY
NIPPENOSE TOWNSHIP,PA,LYCOMING COUNTY
NOCKAMIXON TOWNSHIP,PA,BUCKS COUNTY
NORRISTOWN BOROUGH,PA,MONTGOMERY COUNTY
NORTH ABINGTON TOWNSHIP,PA,LACKAWANNA COUNTY
NORTH ANNVILLE TOWNSHIP,PA,LEBANON COUNTY
NORTH APOLLO BOROUGH,PA,ARMSTRONG COUNTY
NORTH BELLE VERNON BOROUGH,PA,WESTMORELAND COUNTY
NORTH BETHLEHEM TOWNSHIP,PA,WASHINGTON COUNTY
NORTH BRADDOCK BOROUGH,PA,ALLEGHENY COUNTY
NORTH BRANCH TOWNSHIP,PA,WYOMING COUNTY
NORTH BUFFALO TOWNSHIP,PA,ARMSTRONG COUNTY
NORTH CATASAUQUA BOROUGH,PA,NORTHAMPTON COUNTY
NORTH CENTRE TOWNSHIP,PA,COLUMBIA COUNTY
NORTH CHARLEROI BOROUGH,PA,WASHINGTON COUNTY
NORTH CODORUS TOWNSHIP,PA,YORK COUNTY
NORTH CORNWALL TOWNSHIP,PA,LEBANON COUNTY
NORTH COVENTRY TOWNSHIP,PA,CHESTER COUNTY
NORTH EAST BOROUGH,PA,ERIE COUNTY
NORTH EAST TOWNSHIP,PA,ERIE COUNTY
NORTH FAYETTE TOWNSHIP,PA,ALLEGHENY COUNTY
NORTH FRANKLIN TOWNSHIP,PA,WASHINGTON COUNTY
NORTH HEIDELBERG TOWNSHIP,PA,BERKS COUNTY
NORTH HOPEWELL TOWNSHIP,PA,YORK COUNTY
NORTH HUNTINGDON TOWNSHIP,PA,WESTMORELAND COUNTY
NORTH IRWIN BOROUGH,PA,WESTMORELAND COUNTY
NORTH LEBANON TOWNSHIP,PA,LEBANON COUNTY
NORTH LONDONDERRY TOWNSHIP,PA,LEBANON COUNTY
NORTH MIDDLETON TOWNSHIP,PA,CUMBERLAND COUNTY
NORTH NEWTON TOWNSHIP,PA,CUMBERLAND COUNTY
NORTH SEWICKLEY TOWNSHIP,PA,BEAVER COUNTY
NORTH STRABANE TOWNSHIP,PA,WASHINGTON COUNTY
NORTH VERSAILLES TOWNSHIP,PA,ALLEGHENY COUNTY
NORTH WALES BOROUGH,PA,MONTGOMERY COUNTY
NORTH WHITEHALL TOWNSHIP,PA,LEHIGH COUNTY
NORTH WOODBURY TOWNSHIP,PA,BLAIR COUNTY
NORTH YORK BOROUGH,PA,YORK COUNTY
NORTHAMPTON BOROUGH,PA,NORTHAMPTON COUNTY
NORTHAMPTON TOWNSHIP,PA,BUCKS COUNTY
NORTHEAST MADISON TOWNSHIP,PA,PERRY COUNTY
NORTHERN CAMBRIA BOROUGH,PA,CAMBRIA COUNTY
NORTHMORELAND TOWNSHIP,PA,WYOMING COUNTY
NORWOOD BOROUGH,PA,DELAWARE COUNTY
NOTTINGHAM TOWNSHIP,PA,WASHINGTON COUNTY
NOXEN TOWNSHIP,PA,WYOMING COUNTY
NUANGOLA BOROUGH,PA,LUZERNE COUNTY
OAKDALE BOROUGH,PA,ALLEGHENY COUNTY
OAKLAND TOWNSHIP,PA,BUTLER COUNTY
OAKMONT BOROUGH,PA,ALLEGHENY COUNTY
OHARA TOWNSHIP,PA,ALLEGHENY COUNTY
OHIO TOWNSHIP,PA,ALLEGHENY COUNTY
OHIOPYLE BOROUGH,PA,FAYETTE COUNTY
OHIOVILLE BOROUGH,PA,BEAVER COUNTY
OKLAHOMA BOROUGH,PA,WESTMORELAND COUNTY
OLD FORGE BOROUGH,PA,LACKAWANNA COUNTY
OLD LYCOMING TOWNSHIP,PA,LYCOMING COUNTY
OLEY TOWNSHIP,PA,BERKS COUNTY
OLIVER TOWNSHIP,PA,PERRY COUNTY
OLYPHANT BOROUGH,PA,LACKAWANNA COUNTY
ONTELAUNEE TOWNSHIP,PA,BERKS COUNTY
ORANGE TOWNSHIP,PA,COLUMBIA COUNTY
ORANGEVILLE BOROUGH,PA,COLUMBIA COUNTY
ORRSTOWN BOROUGH,PA,FRANKLIN COUNTY
OSBORNE BOROUGH,PA,ALLEGHENY COUNTY
OTTER CREEK TOWNSHIP,PA,MERCER COUNTY
OVERFIELD TOWNSHIP,PA,WYOMING COUNTY
OXFORD BOROUGH,PA,CHESTER COUNTY
PACKER TOWNSHIP,PA,CARBON COUNTY
PALMER TOWNSHIP,PA,NORTHAMPTON COUNTY
PALMERTON BOROUGH,PA,CARBON COUNTY
PALMYRA BOROUGH,PA,LEBANON COUNTY
PALMYRA TOWNSHIP,PA,PIKE COUNTY
PARADISE TOWNSHIP,PA,LANCASTER COUNTY
PARADISE TOWNSHIP,PA,MONROE COUNTY
PARADISE TOWNSHIP,PA,YORK COUNTY
PARKER TOWNSHIP,PA,BUTLER COUNTY
PARKESBURG BOROUGH,PA,CHESTER COUNTY
PARKS TOWNSHIP,PA,ARMSTRONG COUNTY
PARKSIDE BOROUGH,PA,DELAWARE COUNTY
PARRYVILLE BOROUGH,PA,CARBON COUNTY
PATTERSON HEIGHTS BOROUGH,PA,BEAVER COUNTY
PATTERSON TOWNSHIP,PA,BEAVER COUNTY
PATTON BOROUGH,PA,CAMBRIA COUNTY
PATTON TOWNSHIP,PA,CENTRE COUNTY
PAXTANG BOROUGH,PA,DAUPHIN COUNTY
PEACH BOTTOM TOWNSHIP,PA,YORK COUNTY
PEN ARGYL BOROUGH,PA,NORTHAMPTON COUNTY
PENBROOK BOROUGH,PA,DAUPHIN COUNTY
PENN BOROUGH,PA,WESTMORELAND COUNTY
PENN FOREST TOWNSHIP,PA,CARBON COUNTY
PENN HILLS TOWNSHIP,PA,ALLEGHENY COUNTY
PENN LAKE PARK BOROUGH,PA,LUZERNE COUNTY
PENN TOWNSHIP,PA,BERKS COUNTY
PENN TOWNSHIP,PA,BUTLER COUNTY
PENN TOWNSHIP,PA,CENTRE COUNTY
PENN TOWNSHIP,PA,CHESTER COUNTY
PENN TOWNSHIP,PA,CUMBERLAND COUNTY
PENN TOWNSHIP,PA,LANCASTER COUNTY
PENN TOWNSHIP,PA,LYCOMING COUNTY
PENN TOWNSHIP,PA,PERRY COUNTY
PENN TOWNSHIP,PA,WESTMORELAND COUNTY
PENN TOWNSHIP,PA,YORK COUNTY
PENNDEL BOROUGH,PA,BUCKS COUNTY
PENNSBURG BOROUGH,PA,MONTGOMERY COUNTY
PENNSBURY TOWNSHIP,PA,CHESTER COUNTY
PEQUEA TOWNSHIP,PA,LANCASTER COUNTY
PERKASIE BOROUGH,PA,BUCKS COUNTY
PERKIOMEN TOWNSHIP,PA,MONTGOMERY COUNTY
PERRY COUNTY UNINCORPORATED AREA,PA,PERRY COUNTY
PERRY TOWNSHIP,PA,ARMSTRONG COUNTY
PERRY TOWNSHIP,PA,BERKS COUNTY
PERRY TOWNSHIP,PA,MERCER COUNTY
PERRYOPOLIS BOROUGH,PA,FAYETTE COUNTY
PETERS TOWNSHIP,PA,FRANKLIN COUNTY
PETERS TOWNSHIP,PA,WASHINGTON COUNTY
PETROLIA BOROUGH,PA,BUTLER COUNTY
PHILADELPHIA,PA,PHILADELPHIA COUNTY
PHILIPSBURG BOROUGH,PA,CENTRE COUNTY
PHOENIXVILLE BOROUGH,PA,CHESTER COUNTY
PIATT TOWNSHIP,PA,LYCOMING COUNTY
PICTURE ROCKS BOROUGH,PA,LYCOMING COUNTY
PIKE TOWNSHIP,PA,BERKS COUNTY
PILLOW BOROUGH,PA,DAUPHIN COUNTY
PINE TOWNSHIP,PA,ALLEGHENY COUNTY
PINE TOWNSHIP,PA,ARMSTRONG COUNTY
PINE TOWNSHIP,PA,COLUMBIA COUNTY
PINE TOWNSHIP,PA,LYCOMING COUNTY
PINE TOWNSHIP,PA,MERCER COUNTY
PITCAIRN BOROUGH,PA,ALLEGHENY COUNTY
PITTSBURGH,PA,ALLEGHENY COUNTY
PITTSTON,PA,LUZERNE COUNTY
PITTSTON TOWNSHIP,PA,LUZERNE COUNTY
PLAINFIELD TOWNSHIP,PA,NORTHAMPTON COUNTY
PLAINS TOWNSHIP,PA,LUZERNE COUNTY
PLATEA BOROUGH,PA,ERIE COUNTY
PLEASANT HILLS BOROUGH,PA,ALLEGHENY COUNTY
PLUM BOROUGH,PA,ALLEGHENY COUNTY
PLUMCREEK TOWNSHIP,PA,ARMSTRONG COUNTY
PLUMSTEAD TOWNSHIP,PA,BUCKS COUNTY
PLUNKETTS CREEK TOWNSHIP,PA,LYCOMING COUNTY
PLYMOUTH BOROUGH,PA,LUZERNE COUNTY
PLYMOUTH TOWNSHIP,PA,LUZERNE COUNTY
PLYMOUTH TOWNSHIP,PA,MONTGOMERY COUNTY
POCONO TOWNSHIP,PA,MONROE COUNTY
POCOPSON TOWNSHIP,PA,CHESTER COUNTY
POLK TOWNSHIP,PA,MONROE COUNTY
PORT MATILDA BOROUGH,PA,CENTRE COUNTY
PORT VUE BOROUGH,PA,ALLEGHENY COUNTY
PORTAGE BOROUGH,PA,CAMBRIA COUNTY
PORTAGE TOWNSHIP,PA,CAMBRIA COUNTY
PORTER TOWNSHIP,PA,LYCOMING COUNTY
PORTER TOWNSHIP,PA,PIKE COUNTY
PORTERSVILLE BOROUGH,PA,BUTLER COUNTY
PORTLAND BOROUGH,PA,NORTHAMPTON COUNTY
POTTER TOWNSHIP,PA,BEAVER COUNTY
POTTER TOWNSHIP,PA,CENTRE COUNTY
POTTSTOWN BOROUGH,PA,MONTGOMERY COUNTY
PRICE TOWNSHIP,PA,MONROE COUNTY
PRINGLE BOROUGH,PA,LUZERNE COUNTY
PROSPECT BOROUGH,PA,BUTLER COUNTY
PROSPECT PARK BOROUGH,PA,DELAWARE COUNTY
PROVIDENCE TOWNSHIP,PA,LANCASTER COUNTY
PULASKI TOWNSHIP,PA,BEAVER COUNTY
PYMATUNING TOWNSHIP,PA,MERCER COUNTY
QUAKERTOWN BOROUGH,PA,BUCKS COUNTY
QUARRYVILLE BOROUGH,PA,LANCASTER COUNTY
QUINCY TOWNSHIP,PA,FRANKLIN COUNTY
RACCOON TOWNSHIP,PA,BEAVER COUNTY
RADNOR TOWNSHIP,PA,DELAWARE COUNTY
RAILROAD BOROUGH,PA,YORK COUNTY
RANKIN BOROUGH,PA,ALLEGHENY COUNTY
RANSOM TOWNSHIP,PA,LACKAWANNA COUNTY
RAPHO TOWNSHIP,PA,LANCASTER COUNTY
RAYBURN TOWNSHIP,PA,ARMSTRONG COUNTY
READE TOWNSHIP,PA,CAMBRIA COUNTY
READING,PA,BERKS COUNTY
RED HILL BOROUGH,PA,MONTGOMERY COUNTY
RED LION BOROUGH,PA,YORK COUNTY
REDBANK TOWNSHIP,PA,ARMSTRONG COUNTY
REED TOWNSHIP,PA,DAUPHIN COUNTY
RESERVE TOWNSHIP,PA,ALLEGHENY COUNTY
RICE TOWNSHIP,PA,LUZERNE COUNTY
RICHLAND BOROUGH,PA,LEBANON COUNTY
RICHLAND TOWNSHIP,PA,ALLEGHENY COUNTY
RICHLAND TOWNSHIP,PA,BUCKS COUNTY
RICHLAND TOWNSHIP,PA,CAMBRIA COUNTY
RICHLANDTOWN BOROUGH,PA,BUCKS COUNTY
RICHMOND TOWNSHIP,PA,BERKS COUNTY
RIDLEY PARK BOROUGH,PA,DELAWARE COUNTY
RIDLEY TOWNSHIP,PA,DELAWARE COUNTY
RIEGELSVILLE BOROUGH,PA,BUCKS COUNTY
ROARING BROOK TOWNSHIP,PA,LACKAWANNA COUNTY
ROARING CREEK TOWNSHIP,PA,COLUMBIA COUNTY
ROARING SPRING BOROUGH,PA,BLAIR COUNTY
ROBESON TOWNSHIP,PA,BERKS COUNTY
ROBESONIA BOROUGH,PA,BERKS COUNTY
ROBINSON TOWNSHIP,PA,ALLEGHENY COUNTY
ROBINSON TOWNSHIP,PA,WASHINGTON COUNTY
ROCHESTER BOROUGH,PA,BEAVER COUNTY
ROCHESTER TOWNSHIP,PA,BEAVER COUNTY
ROCKLAND TOWNSHIP,PA,BERKS COUNTY
ROCKLEDGE BOROUGH,PA,MONTGOMERY COUNTY
ROSCOE BOROUGH,PA,WASHINGTON COUNTY
ROSE VALLEY BOROUGH,PA,DELAWARE COUNTY
ROSETO BOROUGH,PA,NORTHAMPTON COUNTY
ROSS TOWNSHIP,PA,ALLEGHENY COUNTY
ROSS TOWNSHIP,PA,MONROE COUNTY
ROSSLYN FARMS BOROUGH,PA,ALLEGHENY COUNTY
ROSTRAVER TOWNSHIP,PA,WESTMORELAND COUNTY
ROYALTON BOROUGH,PA,DAUPHIN COUNTY
ROYERSFORD BOROUGH,PA,MONTGOMERY COUNTY
RURAL VALLEY BOROUGH,PA,ARMSTRONG COUNTY
RUSCOMBMANOR TOWNSHIP,PA,BERKS COUNTY
RUSH TOWNSHIP,PA,CENTRE COUNTY
RUSH TOWNSHIP,PA,DAUPHIN COUNTY
RUTLEDGE BOROUGH,PA,DELAWARE COUNTY
RYE TOWNSHIP,PA,PERRY COUNTY
SADSBURY TOWNSHIP,PA,CHESTER COUNTY
SADSBURY TOWNSHIP,PA,LANCASTER COUNTY
SALEM TOWNSHIP,PA,LUZERNE COUNTY
SALEM TOWNSHIP,PA,MERCER COUNTY
SALEM TOWNSHIP,PA,WESTMORELAND COUNTY
SALFORD TOWNSHIP,PA,MONTGOMERY COUNTY
SALISBURY TOWNSHIP,PA,LANCASTER COUNTY
SALISBURY TOWNSHIP,PA,LEHIGH COUNTY
SALLADASBURG BOROUGH,PA,LYCOMING COUNTY
SANDY CREEK TOWNSHIP,PA,MERCER COUNTY
SANDY LAKE BOROUGH,PA,MERCER COUNTY
SANDY LAKE TOWNSHIP,PA,MERCER COUNTY
SANKERTOWN BOROUGH,PA,CAMBRIA COUNTY
SAVILLE TOWNSHIP,PA,PERRY COUNTY
SAXONBURG BOROUGH,PA,BUTLER COUNTY
SCALP LEVEL BOROUGH,PA,CAMBRIA COUNTY
SCHICKSHINNY BOROUGH,PA,LUZERNE COUNTY
SCHUYLKILL TOWNSHIP,PA,CHESTER COUNTY
SCHWENKSVILLE BOROUGH,PA,MONTGOMERY COUNTY
SCOTT TOWNSHIP,PA,ALLEGHENY COUNTY
SCOTT TOWNSHIP,PA,COLUMBIA COUNTY
SCOTT TOWNSHIP,PA,LACKAWANNA COUNTY
SCOTTDALE BOROUGH,PA,WESTMORELAND COUNTY
SCRANTON,PA,LACKAWANNA COUNTY
SELLERSVILLE BOROUGH,PA,BUCKS COUNTY
SEVEN FIELDS BOROUGH,PA,BUTLER COUNTY
SEVEN VALLEYS BOROUGH,PA,YORK COUNTY
SEWARD BOROUGH,PA,WESTMORELAND COUNTY
SEWICKLEY BOROUGH,PA,ALLEGHENY COUNTY
SEWICKLEY HEIGHTS BOROUGH,PA,ALLEGHENY COUNTY
SEWICKLEY HILLS BOROUGH,PA,ALLEGHENY COUNTY
SEWICKLEY TOWNSHIP,PA,WESTMORELAND COUNTY
SHALER TOWNSHIP,PA,ALLEGHENY COUNTY
SHARON,PA,MERCER COUNTY
SHARON HILL BOROUGH,PA,DELAWARE COUNTY
SHARPSBURG BOROUGH,PA,ALLEGHENY COUNTY
SHARPSVILLE BOROUGH,PA,MERCER COUNTY
SHEAKLEYVILLE BOROUGH,PA,MERCER COUNTY
SHENANGO TOWNSHIP,PA,MERCER COUNTY
SHICKSHINNY BOROUGH,PA,LUZERNE COUNTY
SHILLINGTON BOROUGH,PA,BERKS COUNTY
SHIPPENSBURG BOROUGH,PA,CUMBERLAND COUNTY
SHIPPENSBURG TOWNSHIP,PA,CUMBERLAND COUNTY
SHIPPINGPORT BOROUGH,PA,BEAVER COUNTY
SHIREMANSTOWN BOROUGH,PA,CUMBERLAND COUNTY
SHOEMAKERSVILLE BOROUGH,PA,BERKS COUNTY
SHOHOLA TOWNSHIP,PA,PIKE COUNTY
SHREWSBURY BOROUGH,PA,YORK COUNTY
SHREWSBURY TOWNSHIP,PA,LYCOMING COUNTY
SHREWSBURY TOWNSHIP,PA,YORK COUNTY
SILVER SPRING TOWNSHIP,PA,CUMBERLAND COUNTY
SILVERDALE BOROUGH,PA,BUCKS COUNTY
SINKING SPRING BOROUGH,PA,BERKS COUNTY
SKIPPACK TOWNSHIP,PA,MONTGOMERY COUNTY
SLATINGTON BOROUGH,PA,LEHIGH COUNTY
SLIPPERY ROCK BOROUGH,PA,BUTLER COUNTY
SLIPPERY ROCK TOWNSHIP,PA,BUTLER COUNTY
SLOCUM TOWNSHIP,PA,LUZERNE COUNTY
SMITH TOWNSHIP,PA,WASHINGTON COUNTY
SMITHFIELD TOWNSHIP,PA,MONROE COUNTY
SMITHTON BOROUGH,PA,WESTMORELAND COUNTY
SNOW SHOE BOROUGH,PA,CENTRE COUNTY
SNOW SHOE TOWNSHIP,PA,CENTRE COUNTY
SNYDER TOWNSHIP,PA,BLAIR COUNTY
SOLEBURY TOWNSHIP,PA,BUCKS COUNTY
SOMERSET TOWNSHIP,PA,WASHINGTON COUNTY
SOUDERTON BOROUGH,PA,MONTGOMERY COUNTY
SOUTH ABINGTON TOWNSHIP,PA,LACKAWANNA COUNTY
SOUTH ANNVILLE TOWNSHIP,PA,LEBANON COUNTY
SOUTH BEAVER TOWNSHIP,PA,BEAVER COUNTY
SOUTH BEND TOWNSHIP,PA,ARMSTRONG COUNTY
SOUTH BETHLEHEM BOROUGH,PA,ARMSTRONG COUNTY
SOUTH BUFFALO TOWNSHIP,PA,ARMSTRONG COUNTY
SOUTH CENTRE TOWNSHIP,PA,COLUMBIA COUNTY
SOUTH COATESVILLE BOROUGH,PA,CHESTER COUNTY
SOUTH COVENTRY TOWNSHIP,PA,CHESTER COUNTY
SOUTH FAYETTE TOWNSHIP,PA,ALLEGHENY COUNTY
SOUTH FORK BOROUGH,PA,CAMBRIA COUNTY
SOUTH FRANKLIN TOWNSHIP,PA,WASHINGTON COUNTY
SOUTH GREENSBURG BOROUGH,PA,WESTMORELAND COUNTY
SOUTH HANOVER TOWNSHIP,PA,DAUPHIN COUNTY
SOUTH HEIDELBERG TOWNSHIP,PA,BERKS COUNTY
SOUTH HEIGHTS BOROUGH,PA,BEAVER COUNTY
SOUTH HUNTINGDON TOWNSHIP,PA,WESTMORELAND COUNTY
SOUTH LEBANON TOWNSHIP,PA,LEBANON COUNTY
SOUTH LONDONDERRY TOWNSHIP,PA,LEBANON COUNTY
SOUTH MIDDLETON TOWNSHIP,PA,CUMBERLAND COUNTY
SOUTH NEWTON TOWNSHIP,PA,CUMBERLAND COUNTY
SOUTH PARK TOWNSHIP,PA,ALLEGHENY COUNTY
SOUTH PHILIPSBURG BOROUGH,PA,CENTRE COUNTY
SOUTH PYMATUNING TOWNSHIP,PA,MERCER COUNTY
SOUTH STRABANE TOWNSHIP,PA,WASHINGTON COUNTY
SOUTH UNION TOWNSHIP,PA,FAYETTE COUNTY
SOUTH VERSAILLES TOWNSHIP,PA,ALLEGHENY COUNTY
SOUTH WHITEHALL TOWNSHIP,PA,LEHIGH COUNTY
SOUTH WILLIAMSPORT BOROUGH,PA,LYCOMING COUNTY
